281000008528B,LATHROP,PKT: ENGL 1147-101 F12 PACKET THE MSYTERY IN THE STORY,CUSTOM PUBLISHING,,R,$6.25
9780140097313,AUSTER,CITY OF GLASS,THE PENGUIN GROUP,1,R,$15.00
9780312089450,"DOYLE, ARTHUR CONAN",SHERLOCK HOLMES THE MAJOR STORIES WITH CONTEMPORARY CRITICAL ESSAYS,ST MARTINS PRESS,,R,$21.00
9780312428815,"EUGENIDES, JEFFREY",VIRGIN SUICIDES,MPS,,R,$14.00
9780394758282,CHANDLER,BIG SLEEP,"RANDOM HOUSE, INC.",,R,$14.00
9780679643425,POE,MURDERS IN THE RUE MORGUE (INTRO PEARL),DAVID MCKAY,,R,$9.95
