281088800210B,CU PHYS DEPT,PHYS 1101 LAB MANUAL,CORNELL CONSIGNMENTS,4,R,$17.35
9780077892418,GIAMBATTISTA,*UNBOUND* 2 PKG: COLLEGE PHYSICS W/ CONNECT PLUS ACCESS,MCGRAW-HILL BOOK,4,R,$183.25
9780077892425,GIAMBATTISTA,2PKG: (VOL 1) COLLEGE PHYSICS W/ CONNECT PLUS,MCGRAW-HILL BOOK,4,R,$154.75
