9780077465438,"CHANG, KANG-TSUNG",2 PKG INTRO GEOGRAPHIC INFORMATION SYSTEMS W/DATA SET CD,MCGRAW-HILL BOOK,6,R,$167.75
9781589482586,"ALLEN, DAVID W.",GIS TUTORIAL 2: SPATIAL ANALYSIS WORKBOOK [WITH CDROM AND DVD],ENVIRONMENTAL SYSTEMS,,O,$79.95
9781589482593,"GORR, WILPEN L.",GIS TUTORIAL 1: BASIC WORKBOOK [WITH CDROM AND DVD],ENVIRONMENTAL SYSTEMS,,O,$79.95
