281032569201B,MATHWORKS,MATLAB 2011A STUDENT VERSION,MATHWORKS,,O,$99.95
9780716779391,ICLICKER,ICLICKER,W H FREEMAN & COMPANY,,R,$40.75
9780898716917,FAN,INSIGHT THROUGH COMPUTING,SIAM,,R,$59.00
