281000008367B,"BOOTH, R",PKT: CRP 4440 SP12 PACKET COURSE READER (& CRP 5440 / NTRES 4440),CUSTOM PUBLISHING,,R,$22.00
9780314162854,GLICKSMAN,MODERN PUBLIC LAND LAW (NUTSHELL SERIES),WEST GROUP,3,R,$38.00
9781599411637,COGGINS,FEDERAL PUBLIC LAND & RESOURCES LAW (CASEBOOK),WEST GROUP,6,R,$172.00
