9789620425035,ZHENG DING OU,YUE YU (XIANG GANG HUA) JIAN CHENG,EASTWIND BOOKS & ARTS INC.,,R,$15.75
9789622019225,"MAN, CHIK H.",CHINESE-ENGLISH DICTIONARY,COLUMBIA UNIVERSITY PRESS,,O,$20.00
9789622019706,NEW ASIA-YALE-IN-CHINA CHINESE LANGUAGE,ENGLISH-CANTONESE DICTIONARY,COLUMBIA UNIVERSITY PRESS,,O,$20.00
