281000008342B,"ANTON, A",PKT: PT.1 CHEME 3320 SP12 PACKET ANALYSIS OF SEPARATION PROCESSES,CUSTOM PUBLISHING,,R,$2.75
281000008373B,"ANTON, A",PKT: PT.2 CHEME 3320 SP12 PACKET ANALYSIS OF SEPARATION PROCESSES,CUSTOM PUBLISHING,,R,$3.50
281000008397B,ANTON,PKT: PT.3 CHEME 3320 SP12 PACKET ANALYSIS OF SEPARATION PROCESSES,CUSTOM PUBLISHING,,R,$3.75
281000008407B,"ANTON, A",PKT: PT.4 CHEME 3320 SP12 PACKET NOTES,CUSTOM PUBLISHING,,R,$2.00
9780470481837,SEADER,SEPARATION PROCESS PRINCIPLES,HALSTAD,3,R,$206.25
