281000008349B	KOSCHMANN	PKT: HIST 2492 SP12 PACKET EUROPE’S ASIA (& ASIAN 2292)	CUSTOM PUBLISHING		R	$14.25 
9.78002E+12	"HARTMAN, ROBERT S."	HEGEL REASON IN HISTORY	MACMILLAN DIST CENTER		R	$16.00 
9.78019E+12	SINGER	HEGEL: VERY SHORT INTRO	OXFORD UNIVERSITY PRESS		R	$11.95 
9.78019E+12	SINGER	MARX: VERY SHORT INTRO	OXFORD UNIVERSITY PRESS		R	$11.95 
9.78049E+12	"WEBER, MAX"	PROTESTANT ETHIC AND THE SPIRIT OF CAPITALISM	DOVER PUBLICATIONS		R	$9.95 
9.78072E+12	MARX	PRECAPITALIST ECONOMIC FORMATIONS	INTERNATIONAL PUBLISHERS		R	$8.00 
