9780073053042,FAZIO,BUILDINGS ACROSS TIME,MCGRAW-HILL BOOK,3,O,$135.00
9780192842220,"BERGDOLL, BARRY",EUROPEAN ARCHITECTURE 17501890,OXFORD UNIVERSITY PRESS,,R,$27.95
9780192842268,"COLQUHOUN, ALAN",MODERN ARCHITECTURE,OXFORD UNIVERSITY PRESS,,R,$27.95
