Fall 2012,HE,1115,1-4,CHEN/SELCO,72,58
Fall 2012,HE,6010,101,O'TOOLE,45,24
Fall 2012,HE,6012,1,JOHNSON,30,22
Spring 2012,HE,1115,1-4,CHEN,72,67
