281000008226B,"ESTROFF, L",PKT: MSE 5620 SP12 PACKET BIOMINERALIZATION (& BME 5620),CUSTOM PUBLISHING,,R,$52.25
9780198504894,"DAVEY, R.",FROM MOLECULES TO CRYSTALLIZERS,OXFORD UNIVERSITY PRESS,,O,$29.95
9780198508823,"MANN, STEPHEN",BIOMINERALIZATION: PRINCIPLES AND CONCEPTS IN BIOINORGANIC MATERIALS CHEMISTRY,OXFORD UNIVERSITY PRESS,,R,$99.00
