281000006073B,KLEINBERG / EASLEY,PKT: ECON 2040 SP09 PACKET - NETWORKS (& CS 2850 / INFO 2040 / SOC 2090),CUSTOM PUBLISHING,,R,$32.75
9780316346627,GLADWELL,TIPPING POINT,LITTLE BROWN & CO,,O,$14.99
9780393329469,SCHELLING,MICROMOTIVES AND MACROBEHAVIOR,W W NORTON & COMPANY,,O,$17.95
