9780201112979,WINOGRAD,UNDERSTANDING COMPUTERS & COGNITION,ADDISON WESLEY PUBL CO,,R,$39.99
9780801474057,CULLER,ON DECONSTRUCTION (REV) (P),CORNELL UNIVERSITY PRESS,,R,$21.00
281000006437B,SENGERS,PKT: INFO 6341 F09 PACKET INFORMATION TECHNOLOGY IN SOCIOCULTURAL CONTEXT (& STS 6341),CUSTOM PUBLISHING,,R,$61.00
9780226206813,EMERSON,WRITING ETHNOGRAPHIC FIELDNOTES,UNIVERSITY OF CHICAGO PRESS,,R,$16.00
9780812690231,SAUSSURE,COURSE IN GENERAL LINGUISTICS,BOOK MASTERS,,R,$22.00
9780262540568,"DREYFUS, HUBERT L.",BEINGINTHEWORLD A COMMENTARY ON HEIDEGGERS BEING AND TIME DIVISION I,TRILITERAL / MIT PRESS,,R,$37.00
