281000008435B,BIERMAN,PKT: NBA 5400 F12 PACKET ADVANCED CORPORATE FINANCE,CUSTOM PUBLISHING,,R,$22.50
9781883249670,BIERMAN,CORPORATE FINANCIAL STRATEGY & DECISION MAKING,JOHN WILEY & SONS,,O,$70.00
