281000008524B,"NG, D",PKT: AEM 4280 F12 PACKET VALUATION OF CAPITAL INVESTMENT,CUSTOM PUBLISHING,,R,$22.00
9780071625760,"O'SHAUGHNESSY, JAMES P.",WHAT WORKS ON WALL STREET: THE CLASSIC GUIDE TO THE BEST-PERFORMING INVESTMENT STRATEGIES OF ALL TIME,MCGRAW-HILL BOOK,4,R,$45.00
9781121589780,PENMAN,*CUSTOM* VALUATION,MCGRAW-HILL BOOK,,R,$29.25
