281000008657B	TROY	PKT: AEM 4000 SP13 PACKET PRACTITIONER’S OVERVIEW	CUSTOM PUBLISHING		R	$43.50 
9.78007E+12	"LITTLE, JEFFREY"	UNDERSTANDING WALL STREET	MCGRAW-HILL BOOK	5	R	$18.95 
