281000008465B,LION,PKT: CEE 6530 F12 PACKET WATER CHEMISTRY FOR ENVIRONMENTAL ENGINEERING,CUSTOM PUBLISHING,,R,$27.25
9780471051961,SNOEYINK,WATER CHEMISTRY,JOHN WILEY & SONS,1,O,$207.00
9780471413868,"JENSEN, JAMES",A PROBLEM SOLVING APPROACH TO AQUATIC CHEMISTRY,JOHN WILEY & SONS,,O,$208.25
