281000008484B,ALESSI,PKT: MATH 1101 F12 PACKET CALCULUS PREPARATION,CUSTOM PUBLISHING,,R,$6.50
9780321749000,"LIAL, MARGARET L.",CALCULUS WITH APPLICATIONS,PEARSON EDUCATION,10,R,$169.75
9780321757906,"LIAL, MARGARET","STUDENT SOLUTIONS MANUAL FOR CALCULUS WITH APPLICATIONS AND CALCULUS WITH APPLICATIONS, BRIEF VERSION",PEARSON EDUCATION,10,O,$37.25
