281088899963B,CU PHYS DEPT,PHYS 3330 LAB MANUAL,CORNELL CONSIGNMENTS,4,R,$16.00
9780070277304,HECHT,SCHAUM'S OUTLINE OF OPTICS,MCGRAW-HILL BOOK,,O,$21.00
9780805385663,HECHT,OPTICS,PEARSON,4,R,$172.25
