9780198566779,"SETHNA, JAMES","ENTROPY, ORDER PARAMETERS AND COMPLEXITY",OXFORD UNIVERSITY PRESS,,O,$65.00
9780521873413,KARDAR,STATISTICAL PHYSICS OF FIELDS,CAMBRIDGE UNIVERSITY PRESS,,R,$99.00
9780521873420,KARDAR,STATISTICAL PHYSICS OF PARTICLES,CAMBRIDGE UNIVERSITY PRESS,,R,$99.00
