281000008364B,"BOOTH, R",PKT: CRP 4590 SP12 PACKET LEGAL ASPECTS OF LAND USE PLANNING (& CRP 5590),CUSTOM PUBLISHING,,R,$18.00
9780314163714,WRIGHT,LAND USE (NUTSHELL SERIES),WEST GROUP,5,R,$38.00
9780314184504,CALLIES,LAND USE (CASEBOOK),WEST GROUP,5,R,$176.00
