281000008288B,"KATZ, J",PKT: HADM 4405 SP12 PACKET INTERNATIONAL MARKETING (& HADM 6405),CUSTOM PUBLISHING,,R,$34.50
9780470010952,"CRAIG, SAMUEL",INTERNATIONAL MARKETING RESEARCH,HALSTAD,3,R,$78.50
9780470381113,KOTABE,GLOBAL MARKETING MANAGEMENT,HALSTAD,5,R,$216.25
