281000008208B,"ARCHER, L",PKT: CHEME 3230 SP12 PACKET FLUID MECHANICS,CUSTOM PUBLISHING,,R,$16.50
9780137231638,DENN,PROCESS FLUID MECHANICS,PEARSON EDUCATION,1,R,$90.25
