281000008363B,FAKIER,PKT: ILRIC 4345 SP12 PACKET EXCERPTS FROM: WORK AND INDUSTRIALIZATION IN SOUTH AFRICA,CUSTOM PUBLISHING,,R,$6.00
9780702184642,"GODFREY, SHANE","COLLECTIVE BARGAINING IN SOUTH AFRICA: PAST, PRESENT AND FUTURE?",JUTA AND COMPANY LTD,,R,$68.50
9780796921277,"BUHLUNGU, SAKHELA",TRADE UNIONS AND DEMOCRACY: COSATU WORKERS' POLITICAL ATTITUDES IN SOUTH AFRICA,INDEPENDENT PUBLISHERS GROUP,,R,$34.95
9781848138599,"MARAIS, HEIN",SOUTH AFRICA PUSHED TO THE LIMIT: THE POLITICAL ECONOMY OF CHANGE,MPS,,O,$45.00
