281000008488B,PEREZ,PKT: AEM 2200 F12 PACKET BUSINESS MANAGEMENT AND ORGANIZATION,CUSTOM PUBLISHING,,R,$62.25
9781111826734,"KELLY, MARCELLA",BUSN 5,CENGAGE,5,R,$59.95
9781133190905,"WILLIAMS, CHUCK",MGMT5 (WITH MANAGEMENT COURSEMATE PRINTED ACCESS CARD),CENGAGE,5,R,$61.00
