281000008164B,SHAPIRO,PKT: RUSSL 3335 SP12 PACKET READINGS,CUSTOM PUBLISHING,,R,$29.50
9780226300689,GOGOL,VOL 1 COMPLETE TALES OF NIKOLAI GOGOL,UNIVERSITY OF CHICAGO PRESS,,R,$17.50
9780226300696,GOGOL,VOL 2 COMPLETE TALES OF NIKOLAI GOGOL,UNIVERSITY OF CHICAGO PRESS,,R,$25.00
9780393952926,GOGOL,DEAD SOULS THE REAVEY TRANSLATION BACKGROUNDS AND SOURCES ESSAYS IN CRITICISM,W W NORTON & COMPANY,3,R,$15.00
9780521110235,"PEACE, RICHARD",THE ENIGMA OF GOGOL,CAMBRIDGE UNIVERSITY PRESS,,O,$50.00
9780811201209,NABOKOV,NIKOLAI GOGOL,W W NORTON & COMPANY,,O,$13.95
