281000008329B,GOLD,PKT: PT.2 ILRLR 2010 SP12 PACKET LABOR & EMPLOYMENT DISCRIMINATION LAW,CUSTOM PUBLISHING,,R,$19.00
281000008330B,GOLD,PKT: PT.3 ILRLR 2010 SP12 PACKET LABOR & EMPLOYMENT DISCRIMINATION LAW,CUSTOM PUBLISHING,,R,$19.25
281000008344B,GOLD,PKT: PT.5 ILRLR 2010 SP12 PACKET LABOR & EMPLOYMENT DISCRIMINATION LAW,CUSTOM PUBLISHING,,R,$9.25
281000008345B,GOLD,PKT: PT.1 ILRLR 2010 SP12 PACKET LABOR & EMPLOYMENT DISCRIMINATION LAW,CUSTOM PUBLISHING,,R,$17.25
281000008346B,GOLD,PKT: PT.4 ILRLR 2010 SP12 PACKET LABOR & EMPLOYMENT DISCRIMINATION LAW,CUSTOM PUBLISHING,,R,$25.75
9780716779391,ICLICKER,ICLICKER,W H FREEMAN & COMPANY,,R,$40.75
9780801484773,"GOLD, MICHAEL EVAN",INTRODUCTION TO LABOR LAW,CORNELL UNIVERSITY PRESS,66,R,$12.95
9780801487491,GOLD,INTRODUCTION TO THE LAW OF EMPLOYMENT DISCRIMINATION,CORNELL UNIVERSITY PRESS,2,R,$14.95
