281000008541B,LEWIS,PKT: FSAD 4440 F12 PACKET GLOBAL FASHION MANAGEMENT,CUSTOM PUBLISHING,,R,$40.25
9780470287163,"RIVOLI, PIETRA","THE TRAVELS OF A T-SHIRT IN THE GLOBAL ECONOMY: AN ECONOMIST EXAMINES THE MARKETS, POWER, AND POLITICS OF WORLD TRADE",HALSTAD,2,R,$18.95
9781609011062,KUNZ,GOING GLOBAL: TEXTILE & APPAREL INDUSTRY,FAIRCHILD BOOKS,2,R,$88.00
