281000008509B,KUO,PKT: GOVT 1101 F12 PACKET READINGS,CUSTOM PUBLISHING,,R,$36.50
9780198782742,"KYMLICKA, WILL",CONTEMPORARY POLITICAL PHILOSOPHY: AN INTRODUCTION,OXFORD UNIVERSITY PRESS,2,R,$54.95
9780199286102,"ALESINA, ALBERTO",FIGHTING POVERTY IN THE US AND EUROPE: A WORLD OF DIFFERENCE,OXFORD UNIVERSITY PRESS,,R,$35.00
